Subject,Activity,Trial,Start,End
1,Stairs Down,1,6,18
1,Stairs Down,2,8,19
1,Stairs Down,3,13,59
1,Stairs Down,4,8,18
1,Stairs Down,5,14,25
1,Stairs Down,6,6,14
1,Stairs Down,7,9,16
1,Stairs Down,8,5,13
1,Stairs Down,9,4,14
1,Stairs Down,10,12,120
1,Stairs Down,11,11,18
1,Stairs Down,12,8,61
2,Stairs Down,1,27,43
2,Stairs Down,3,8,18
2,Stairs Down,5,9,17
2,Stairs Down,6,5,16
2,Stairs Down,7,4,13
2,Stairs Down,9,14,25
2,Stairs Down,10,5,14
2,Stairs Down,11,13,18
2,Stairs Down,12,5,13
2,Stairs Down,15,5,32
2,Stairs Down,16,3,26
2,Stairs Down,17,3,22
2,Stairs Down,21,3,19
2,Stairs Down,22,3,27
4,Stairs Down,6,7,25
4,Stairs Down,8,2,11
4,Stairs Down,12,5,37
4,Stairs Down,14,9,35
4,Stairs Down,18,5,12
4,Stairs Down,19,7,20
5,Stairs Down,5,3,37
5,Stairs Down,8,11,18
5,Stairs Down,10,3,31
5,Stairs Down,12,5,32
5,Stairs Down,13,5,26
5,Stairs Down,14,4,37
5,Stairs Down,15,4,38
5,Stairs Down,18,5,44
6,Stairs Down,1,8,17
6,Stairs Down,3,5,21
6,Stairs Down,4,3,20
6,Stairs Down,7,6,16
7,Stairs Down,1,14,52
7,Stairs Down,2,15,58
7,Stairs Down,3,15,64
7,Stairs Down,4,12,56
7,Stairs Down,5,9,48
7,Stairs Down,6,11,52
7,Stairs Down,7,11,53
7,Stairs Down,8,8,58
7,Stairs Down,9,11,56
7,Stairs Down,10,18,80
7,Stairs Down,11,10,66
7,Stairs Down,12,11,62
7,Stairs Down,13,33,90
7,Stairs Down,14,17,67
7,Stairs Down,15,11,55
7,Stairs Down,16,10,49
7,Stairs Down,17,10,47
7,Stairs Down,18,10,49
7,Stairs Down,19,8,50
7,Stairs Down,21,11,59
7,Stairs Down,22,16,66
7,Stairs Down,23,15,66
7,Stairs Down,24,10,63
7,Stairs Down,25,12,65
7,Stairs Down,26,14,64
7,Stairs Down,27,26,69
7,Stairs Down,28,19,70
7,Stairs Down,29,16,66
8,Stairs Down,1,2,11
8,Stairs Down,2,3,8
8,Stairs Down,3,2,7
8,Stairs Down,4,1,9
8,Stairs Down,5,4,66
8,Stairs Down,6,2,7
8,Stairs Down,9,1,11
11,Stairs Down,1,7,13
11,Stairs Down,2,1,8
11,Stairs Down,3,1,7
11,Stairs Down,4,1,7
11,Stairs Down,5,1,6
11,Stairs Down,6,1,9
12,Stairs Down,1,134,252
13,Stairs Down,1,16,31
13,Stairs Down,2,20,81
13,Stairs Down,3,11,65
14,Stairs Down,5,2,10
14,Stairs Down,9,2,5
14,Stairs Down,10,16,31
15,Stairs Down,4,2,10
15,Stairs Down,5,2,7
1,Standing,14,17,111
1,Standing,1,15,40
1,Standing,3,25,203
1,Standing,5,18,117
1,Standing,6,28,198
2,Standing,9,25,88
2,Standing,10,23,174
2,Standing,11,18,76
4,Standing,2,11,36
4,Standing,3,13,109
4,Standing,4,15,41
4,Standing,6,11,27
4,Standing,7,3,24
4,Standing,8,5,36
4,Standing,10,5,8
4,Standing,11,12,16
4,Standing,12,9,58
4,Standing,13,3,14
4,Standing,14,5,16
4,Standing,15,8,20
4,Standing,17,4,21
4,Standing,18,8,50
4,Standing,19,1,7
4,Standing,20,8,21
4,Standing,21,7,26
5,Standing,5,9,162
5,Standing,6,7,126
5,Standing,8,4,102
5,Standing,9,4,51
5,Standing,10,6,132
5,Standing,15,11,161
5,Standing,19,4,123
6,Standing,1,3,7
6,Standing,3,10,25
6,Standing,7,16,90
6,Standing,9,11,33
7,Standing,11,15,443
7,Standing,14,19,102
8,Standing,5,3,54
8,Standing,8,3,38
11,Standing,1,12,23
11,Standing,2,8,22
11,Standing,4,1,9
12,Standing,16,5,45
12,Standing,3,7,16
12,Standing,4,84,612
12,Standing,5,21,37
12,Standing,6,7,34
12,Standing,7,13,23
12,Standing,9,2,7
12,Standing,12,4,23
12,Standing,13,4,29
12,Standing,14,1,18
13,Standing,1,5,20
13,Standing,2,75,97
13,Standing,4,35,95
13,Standing,5,11,89
13,Standing,7,13,40
14,Standing,1,3,15
14,Standing,2,3,15
14,Standing,3,6,30
14,Standing,6,10,39
14,Standing,7,2,21
15,Standing,4,6,41
15,Standing,5,7,58
15,Standing,7,8,42
15,Standing,8,5,37
15,Standing,9,5,23
15,Standing,10,4,19
15,Standing,13,4,20
15,Standing,15,10,17
15,Standing,17,6,15
15,Standing,18,5,25
